Unnamed: 0.1,Unnamed: 0,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
360,400,Asus,Zenbook S13 Oled 2023 Ux5304Va-Nq542Ws Laptop,79990,64.0,13Th Gen Intel Core I5 1335U,"10 Cores (2P + 8E), 12 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Integrated Intel Iris Xe Graphics,13.3,2880,1800,Windows 11 Os,1
361,401,Asus,Vivobook 15 2023 X1502Va-Nj541Ws Laptop,64990,62.0,13Th Gen Intel Core I5 13500H,"12 Cores (4P + 8E), 16 Threads",16Gb,Ddr4,512Gb,Ssd,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
362,402,Asus,Vivobook S15 Oled 2023 S5504Va-Ma953Ws Laptop,109990,71.0,13Th Gen Intel Core I9 13900H,"14 Cores (6P + 8E), 20 Threads",16Gb,Lpddr5,1Tb,Ssd,Intel Integrated Iris Xe,15.6,2880,1620,Windows 11 Os,1
363,403,Msi,Bravo 15 B5Ed-035In Gaming Laptop,62990,72.0,5Th Gen Amd Ryzen 7 5800H,"Octa Core, 16 Threads",16Gb,Ddr4,512Gb,Ssd,4Gb Amd Radeon Rx6500M,15.6,1920,1080,Windows 11 Os,1
364,404,Huawei,Matebook D14 2023 Laptop,58999,65.0,13Th Gen Intel Core I5 1340P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr4X,512Gb,Ssd,Intel Iris Xe Graphics,14.0,1920,1200,Windows 11 Os,1
365,405,Msi,Titan Gt77 Hx 13Vh-093In Gaming Laptop,420000,69.32352941,13Th Gen Intel Core I9 13980Hx,"24 Cores (8P + 16E), 32 Threads",64Gb,Ddr5,2Tb,Ssd,12Gb Nvidia Geforce Rtx 4080,17.3,3840,2160,Windows 11 Os,2
366,407,Lenovo,E41-55 Laptop,23990,69.32352941,3Rd Gen Amd Athlon Silver 3050U,"Dual Core, 2 Threads",8Gb,Ddr4,256Gb,Ssd,Amd Radeon Graphics,14.0,1920,1080,Windows 11 Os,1
367,408,Hp,15-Fc0028Au Laptop,42999,69.32352941,7Th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows 11 Os,1
368,409,Hp,15S-Eq2223Au Laptop,38861,69.32352941,5Th Gen Amd Ryzen 5 5500U,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows 11 Os,1
369,410,Lenovo,V15 G3 82Tta00Vih Laptop,33590,69.32352941,12Th Gen Intel Core I3 1215U,"Hexa Core (2P + 4E), 8 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd,15.6,1920,1080,Windows 11 Os,1
370,411,Hp,Chromebook 15A-Na0012Tu Laptop,15990,69.32352941,Intel Celeron  N4500,"Dual Core, 2 Threads",4Gb,Lpddr4X,128Gb,Hard-Disk,Intel Integrated Uhd Graphics,15.6,1366,768,Chrome Os,1
371,412,Asus,Vivobook Go 14 2023 E1404Fa-Nk322Ws Laptop,33980,69.32352941,7Th Gen Amd Ryzen 3 7320U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,14.0,1920,1080,Windows 11 Os,1
372,413,Acer,Nitro 5 An515-47 Nh.Ql3Si.001 Gaming Laptop,78400,71.0,7Th Gen Amd Ryzen 5 7535Hs,"Hexa Core, 12 Threads",8Gb,Ddr5,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
373,414,Asus,Vivobook Pro 15 M6500Qc-Hn742Ws Laptop,79990,72.0,5Th Gen Amd Ryzen 7 5800H,"Octa Core, 16 Threads",16Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
374,415,Acer,Aspire 5 Un.K3Jsi.004 Laptop,47990,67.0,12Th Gen Intel Core I5 1235U,"10 Cores (2P + 8E), 12 Threads",12Gb,Ddr4,512Gb,Ssd,Intel Iris Xe Graphic,15.6,1920,1080,Windows 11 Os,1
375,416,Asus,Vivobook Pro 15 M6500Qc-Hn542Ws Laptop,74990,68.0,5Th Gen Amd Ryzen 5  5600H,"Hexa Core, 12 Threads",16Gb,Ddr4,512Gb,Ssd,4Gb Nvidia Geforce Rtx 3050,15.6,1920,1080,Windows 11 Os,1
376,417,Msi,Modern 15 B13M-291In Laptop,45889,69.32352941,13Th Gen Intel Core I5 1335U,"10 Cores (2P + 8E), 12 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 Os,1
377,418,Asus,Zenbook 14 Oled 2023 Um3402Ya-Km741Ws Laptop,90990,70.0,7Th Gen Amd Ryzen 7 7730U,"Octa Core, 16 Threads",16Gb,Lpddr4X,512Gb,Ssd,Amd Radeon Amd,14.0,2880,1800,Windows 11 Os,1
378,419,Asus,Vivobook Go 15 Oled 2023 E1504Fa-Lk521Ws Laptop,50990,69.32352941,7Th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",8Gb,Lpddr5,512Gb,Ssd,Amd Radeon Amd,15.6,1920,1080,Windows 11 Os,1
379,420,Samsung,Galaxy Book 3 Np750Xfg-Ka2In Laptop,74990,69.32352941,13Th Gen Intel Core I5 1335U,"10 Cores (2P + 8E), 12 Threads",16Gb,Lpddr4X,512Gb,Ssd,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 Os,1
380,421,Infinix,Inbook Y1 Plus Xl28 Laptop,25990,69.32352941,10Th Gen Intel Core I3 1005G1,"Dual Core, 4 Threads",8Gb,Lpddr4X,512Gb,Ssd,Intel Integrated Uhd,15.6,1920,1080,Windows 11 Os,1
381,422,Samsung,Galaxy Book 3 360 13 Np730Qfg-Ka3In Laptop,133990,68.0,13Th Gen Intel Core I7 1355U,"10 Cores (2P + 8E), 12 Threads",16Gb,Lpddr4X,1Tb,Ssd,Intel Iris Xe Graphics,13.3,1920,1080,Windows 11 Os,1
382,423,Samsung,Galaxy Book 3 Pro Np960Xfg-Kc2In Laptop,165990,73.0,13Th Gen Intel Core I7 1360P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,1Tb,Ssd,Intel Iris Xe Graphics,16.0,2880,1800,Windows 11 Os,1
383,424,Samsung,Galaxy Book 3 Pro 360 Np960Qfg-Ka1In Laptop,163990,80.0,13Th Gen Intel Core I7 1360P,"12 Cores (4P + 8E), 16 Threads",16Gb,Ddr5,512Gb,Ssd,Intel Iris Xe Graphics,16.0,2880,1800,Windows 11 Os,1
384,425,Samsung,Galaxy Book 3 360 13 Np730Qfg-Ka2In Laptop,109990,66.0,13Th Gen Intel Core I7 1355U,"10 Cores (2P + 8E), 12 Threads",16Gb,Lpddr4X,512Gb,Unknown,Intel Iris Xe Graphics,13.3,1920,1080,Windows 11 Os,1
385,426,Samsung,Galaxy Book 3 Pro 14 Np940Xfg-Kc4In Laptop,139990,71.0,13Th Gen Intel Core I7 1360P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Iris Xe Graphics,14.0,2880,1800,Windows 11 Os,1
386,427,Samsung,Galaxy Book 3 360 13 Np730Qfg-Ka1In Laptop,109990,66.0,13Th Gen Intel Core I5 1335U,"10 Cores (2P + 8E), 12 Threads",16Gb,Lpddr4X,512Gb,Ssd,Intel Iris Xe Graphics,13.3,1920,1080,Windows 11 Os,1
387,428,Samsung,Galaxy Book 3 Pro Np960Xfg-Kc1In Laptop,149990,72.0,13Th Gen Intel Core I7 1360P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Iris Xe Graphics,16.0,2880,1800,Windows 11 Os,1
388,429,Samsung,Galaxy Book 3 Pro 360 Np960Qfg-Ka3In Laptop,179990,81.0,13Th Gen Intel Core I7 1360P,"12 Cores (4P + 8E), 16 Threads",16Gb,Ddr5,1Tb,Ssd,Intel Iris Xe Graphics,16.0,2880,1800,Windows 11 Os,1
389,430,Samsung,Galaxy Book 3 Pro 360 Np960Qfg-Ka2In Laptop,155990,74.0,13Th Gen Intel Core I5 1340P,"12 Cores (4P + 8E), 16 Threads",16Gb,Lpddr5,512Gb,Ssd,Intel Iris Xe Graphics,16.0,2880,1800,Windows 11 Os,1
390,431,Samsung,Galaxy Book 3 Ultra Laptop,229900,78.0,13Th Gen Intel Core I9 13900H,"14 Cores (6P + 8E), 20 Threads",32Gb,Lpddr5,512Gb,Ssd,Nvidia Geforce Rtx 4070,16.0,2880,1800,Windows 11 Os,1
391,432,Lenovo,V15 ‎82C70005Uk Laptop,35990,61.0,5Th Gen Amd Ryzen 5 5500U,"Hexa Core, 12 Threads",8Gb,Ddr4,512Gb,Ssd,Amd Radeon Graphics,15.6,1920,1080,Windows 11 Os,1
392,433,Hp,15S-Fq2717Tu Laptop,37990,60.0,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Uhd Graphics,15.6,1920,1080,Windows 11 Os,1
394,435,Hp,14S-Dq2649Tu Laptop,34999,60.0,11Th Gen Intel Core I3 1115G4,"Dual Core, 4 Threads",8Gb,Ddr4,512Gb,Ssd,Intel Integrated Uhd,14.0,1920,1080,Windows 11 Os,1
395,436,Apple,Macbook Pro 14 Inch Laptop,290990,61.0,Apple M2 Max M2 Max,12 Cores,32Gb,Unified,1Tb,Ssd,30-Core Gpu,14.2,3024,1964,Mac Os,1
396,437,Apple,Macbook Pro 14 Inch Laptop,234990,69.32352941,Apple M2 Pro M2 Pro,12 Cores,16Gb,Unified,1Tb,Ssd,19-Core Gpu,14.2,3024,1964,Mac Os,1
